EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
53	16:34:56	4	0.0275	1.5300333935031345	1.4462825059890747	0.6601	0.6601	0.6601	0.6601
54	16:34:57	4	0.0270	1.6930662589555052	1.4037067890167236	0.6838	0.6838	0.6838	0.6838
55	16:34:57	4	0.0265	1.730120461810588	1.2318272590637207	0.668	0.668	0.668	0.668
56	16:34:57	4	0.0259	1.621304381127451	1.2038192749023438	0.6957	0.6957	0.6957	0.6957
57	16:34:57	4	0.0254	1.7169691290071467	1.2789769172668457	0.6522	0.6522	0.6522	0.6522
58	16:34:57	4	0.0249	1.6076879486958546	1.2568098306655884	0.7075	0.7075	0.7075	0.7075
59	16:35:01	4	0.0243	1.496871039158978	1.118294358253479	0.6917	0.6917	0.6917	0.6917
60	16:35:02	4	0.0238	1.3962552400016497	1.1826374530792236	0.6561	0.6561	0.6561	0.6561
61	16:35:02	4	0.0233	1.751969062724624	1.1718425750732422	0.6206	0.6206	0.6206	0.6206
62	16:35:02	4	0.0228	1.7355057384093961	1.2398467063903809	0.6759	0.6759	0.6759	0.6759
63	16:35:02	4	0.0222	1.5753018248314952	1.227705717086792	0.6838	0.6838	0.6838	0.6838
64	16:35:02	4	0.0217	1.5305180844498256	1.2973111867904663	0.6364	0.6364	0.6364	0.6364
65	16:35:03	4	0.0212	1.583545851671498	1.1622356176376343	0.6798	0.6798	0.6798	0.6798
66	16:35:03	4	0.0206	1.5184170476991128	1.2142890691757202	0.6561	0.6561	0.6561	0.6561
67	16:35:05	4	0.0201	1.305081639354585	1.0005548000335693	0.6798	0.6798	0.6798	0.6798
68	16:35:05	4	0.0196	1.3863656114489065	0.9215747117996216	0.6917	0.6917	0.6917	0.6917
69	16:35:06	4	0.0190	1.297818685908483	1.0088404417037964	0.6996	0.6996	0.6996	0.6996
70	16:35:06	4	0.0185	1.5400457828113217	1.1699877977371216	0.6996	0.6996	0.6996	0.6996
71	16:35:06	4	0.0180	1.6581062328401914	0.9924941658973694	0.7115	0.7115	0.7115	0.7115
72	16:35:12	4	0.0175	1.314893086751302	1.0740002393722534	0.6877	0.6877	0.6877	0.6877
73	16:35:12	4	0.0169	1.4771359128649957	1.1278120279312134	0.6601	0.6601	0.6601	0.6601
74	16:35:13	4	0.0164	1.443353966530272	0.995028555393219	0.6957	0.6957	0.6957	0.6957
75	16:35:13	4	0.0159	1.2306544906593195	1.0468453168869019	0.7036	0.7036	0.7036	0.7036
76	16:35:14	4	0.0153	1.4074153411082733	1.0051480531692505	0.7233	0.7233	0.7233	0.7233
77	16:35:29	4	0.0148	1.1658277094454068	1.0028365850448608	0.6877	0.6877	0.6877	0.6877
78	16:35:29	4	0.0143	1.4626425948797488	1.1266915798187256	0.6798	0.6798	0.6798	0.6798
79	16:35:29	4	0.0138	1.2541699071455505	1.1262434720993042	0.6957	0.6957	0.6957	0.6957
80	16:35:29	4	0.0132	1.2841220124994108	1.0457209348678589	0.6877	0.6877	0.6877	0.6877
81	16:35:29	4	0.0127	1.3505587800775358	1.1265159845352173	0.6759	0.6759	0.6759	0.6759
82	16:35:30	4	0.0122	1.3899383429848051	0.9956602454185486	0.6996	0.6996	0.6996	0.6996
83	16:35:30	4	0.0116	1.3267032629044706	0.9779062271118164	0.7036	0.7036	0.7036	0.7036
84	16:35:30	4	0.0111	1.2186347190431162	0.9031195044517517	0.7194	0.7194	0.7194	0.7194
85	16:35:30	4	0.0106	1.1205863204656863	0.8881590366363525	0.664	0.664	0.664	0.664
86	16:35:31	4	0.0101	1.1178198191555018	0.9241501688957214	0.6996	0.6996	0.6996	0.6996
87	16:35:31	4	0.0095	1.1122400620404411	1.0492395162582397	0.6957	0.6957	0.6957	0.6957
88	16:35:31	4	0.0090	1.1002511992533641	1.0713307857513428	0.6957	0.6957	0.6957	0.6957
89	16:35:31	4	0.0085	1.1988565781537224	1.009446620941162	0.7036	0.7036	0.7036	0.7036
90	16:35:31	4	0.0079	1.1403350599930477	0.9230682253837585	0.6996	0.6996	0.6996	0.6996
91	16:35:32	4	0.0074	1.0885854177345518	0.9116117358207703	0.6996	0.6996	0.6996	0.6996
92	16:35:32	4	0.0069	1.1106554264396564	0.929405689239502	0.6917	0.6917	0.6917	0.6917
93	16:35:32	4	0.0063	1.1262337524966417	0.8834619522094727	0.7273	0.7273	0.7273	0.7273
94	16:35:38	4	0.0058	1.1045430386228259	0.904212236404419	0.7115	0.7115	0.7115	0.7115
95	16:35:38	4	0.0053	1.0577965415620876	0.9051061868667603	0.7194	0.7194	0.7194	0.7194
96	16:35:38	4	0.0048	1.0267198427410327	0.8981465101242065	0.7154	0.7154	0.7154	0.7154
97	16:35:38	4	0.0042	1.0380980662810497	0.9074465036392212	0.7154	0.7154	0.7154	0.7154
98	16:35:39	4	0.0037	1.078456665775535	0.9115394353866577	0.7194	0.7194	0.7194	0.7194
99	16:35:39	4	0.0032	0.9714838663736979	0.9150115847587585	0.7075	0.7075	0.7075	0.7075
100	16:35:39	4	0.0026	0.9856497187779859	0.9133795499801636	0.7233	0.7233	0.7233	0.7233
