| end of split   1 /  1 | epoch  45 | time:  0.55s | valid loss  2.12 | valid ppl     8.37 | learning rate 20.0000
| end of split   1 /  1 | epoch  46 | time:  0.55s | valid loss  2.09 | valid ppl     8.09 | learning rate 20.0000
| end of split   1 /  1 | epoch  47 | time:  0.71s | valid loss  1.79 | valid ppl     6.00 | learning rate 5.0000
| end of split   1 /  1 | epoch  48 | time:  0.77s | valid loss  1.74 | valid ppl     5.67 | learning rate 5.0000
| end of split   1 /  1 | epoch  49 | time:  0.77s | valid loss  1.73 | valid ppl     5.62 | learning rate 5.0000
| end of split   1 /  1 | epoch  50 | time:  0.73s | valid loss  1.72 | valid ppl     5.57 | learning rate 5.0000
| end of split   1 /  1 | epoch  51 | time:  0.66s | valid loss  1.71 | valid ppl     5.50 | learning rate 5.0000
| end of split   1 /  1 | epoch  52 | time:  0.69s | valid loss  1.70 | valid ppl     5.47 | learning rate 5.0000
| end of split   1 /  1 | epoch  53 | time:  0.54s | valid loss  1.71 | valid ppl     5.52 | learning rate 5.0000
| end of split   1 /  1 | epoch  54 | time:  0.73s | valid loss  1.72 | valid ppl     5.56 | learning rate 5.0000
| end of split   1 /  1 | epoch  55 | time:  0.93s | valid loss  1.70 | valid ppl     5.47 | learning rate 5.0000
| end of split   1 /  1 | epoch  56 | time:  0.76s | valid loss  1.69 | valid ppl     5.40 | learning rate 5.0000
| end of split   1 /  1 | epoch  57 | time:  0.77s | valid loss  1.68 | valid ppl     5.38 | learning rate 5.0000
| end of split   1 /  1 | epoch  58 | time:  0.60s | valid loss  1.72 | valid ppl     5.57 | learning rate 5.0000
| end of split   1 /  1 | epoch  59 | time:  0.76s | valid loss  1.68 | valid ppl     5.37 | learning rate 5.0000
| end of split   1 /  1 | epoch  60 | time:  0.74s | valid loss  1.67 | valid ppl     5.33 | learning rate 5.0000
| end of split   1 /  1 | epoch  61 | time:  0.54s | valid loss  1.69 | valid ppl     5.41 | learning rate 5.0000
| end of split   1 /  1 | epoch  62 | time:  0.54s | valid loss  1.70 | valid ppl     5.47 | learning rate 5.0000
| end of split   1 /  1 | epoch  63 | time:  0.54s | valid loss  1.69 | valid ppl     5.41 | learning rate 5.0000
| end of split   1 /  1 | epoch  64 | time:  0.70s | valid loss  1.67 | valid ppl     5.30 | learning rate 5.0000
| end of split   1 /  1 | epoch  65 | time:  0.69s | valid loss  1.67 | valid ppl     5.29 | learning rate 5.0000
| end of split   1 /  1 | epoch  66 | time:  0.74s | valid loss  1.67 | valid ppl     5.30 | learning rate 5.0000
| end of split   1 /  1 | epoch  67 | time:  0.54s | valid loss  1.67 | valid ppl     5.34 | learning rate 5.0000
| end of split   1 /  1 | epoch  68 | time:  0.54s | valid loss  1.68 | valid ppl     5.35 | learning rate 5.0000
| end of split   1 /  1 | epoch  69 | time:  0.77s | valid loss  1.66 | valid ppl     5.27 | learning rate 5.0000
| end of split   1 /  1 | epoch  70 | time:  0.54s | valid loss  1.67 | valid ppl     5.34 | learning rate 5.0000
| end of split   1 /  1 | epoch  71 | time:  0.71s | valid loss  1.65 | valid ppl     5.23 | learning rate 5.0000
| end of split   1 /  1 | epoch  72 | time:  0.67s | valid loss  1.65 | valid ppl     5.19 | learning rate 5.0000
| end of split   1 /  1 | epoch  73 | time:  0.54s | valid loss  1.66 | valid ppl     5.28 | learning rate 5.0000
| end of split   1 /  1 | epoch  74 | time:  0.72s | valid loss  1.64 | valid ppl     5.15 | learning rate 5.0000
| end of split   1 /  1 | epoch  75 | time:  0.60s | valid loss  1.66 | valid ppl     5.28 | learning rate 5.0000
| end of split   1 /  1 | epoch  76 | time:  0.60s | valid loss  1.67 | valid ppl     5.31 | learning rate 5.0000
| end of split   1 /  1 | epoch  77 | time:  0.60s | valid loss  1.64 | valid ppl     5.18 | learning rate 5.0000
| end of split   1 /  1 | epoch  78 | time:  0.60s | valid loss  1.67 | valid ppl     5.32 | learning rate 5.0000
| end of split   1 /  1 | epoch  79 | time:  0.60s | valid loss  1.66 | valid ppl     5.28 | learning rate 5.0000
| end of split   1 /  1 | epoch  80 | time:  0.60s | valid loss  1.64 | valid ppl     5.17 | learning rate 5.0000
| end of split   1 /  1 | epoch  81 | time:  0.75s | valid loss  1.63 | valid ppl     5.11 | learning rate 5.0000
| end of split   1 /  1 | epoch  82 | time:  0.60s | valid loss  1.64 | valid ppl     5.15 | learning rate 5.0000
