| end of split   1 /  1 | epoch  47 | time:  0.85s | valid loss  1.88 | valid ppl     6.55 | learning rate 5.0000
| end of split   1 /  1 | epoch  48 | time:  0.70s | valid loss  1.86 | valid ppl     6.41 | learning rate 5.0000
| end of split   1 /  1 | epoch  49 | time:  0.54s | valid loss  1.91 | valid ppl     6.73 | learning rate 5.0000
| end of split   1 /  1 | epoch  50 | time:  0.53s | valid loss  1.86 | valid ppl     6.42 | learning rate 5.0000
| end of split   1 /  1 | epoch  51 | time:  0.54s | valid loss  1.90 | valid ppl     6.67 | learning rate 5.0000
| end of split   1 /  1 | epoch  52 | time:  0.74s | valid loss  1.83 | valid ppl     6.21 | learning rate 5.0000
| end of split   1 /  1 | epoch  53 | time:  0.54s | valid loss  1.85 | valid ppl     6.33 | learning rate 5.0000
| end of split   1 /  1 | epoch  54 | time:  0.66s | valid loss  1.88 | valid ppl     6.53 | learning rate 5.0000
| end of split   1 /  1 | epoch  55 | time:  0.65s | valid loss  1.85 | valid ppl     6.33 | learning rate 5.0000
| end of split   1 /  1 | epoch  56 | time:  0.65s | valid loss  1.83 | valid ppl     6.22 | learning rate 5.0000
| end of split   1 /  1 | epoch  57 | time:  0.66s | valid loss  1.85 | valid ppl     6.35 | learning rate 5.0000
| end of split   1 /  1 | epoch  58 | time:  0.65s | valid loss  1.83 | valid ppl     6.23 | learning rate 5.0000
| end of split   1 /  1 | epoch  59 | time:  0.72s | valid loss  1.81 | valid ppl     6.10 | learning rate 5.0000
| end of split   1 /  1 | epoch  60 | time:  0.72s | valid loss  1.80 | valid ppl     6.08 | learning rate 5.0000
| end of split   1 /  1 | epoch  61 | time:  0.54s | valid loss  1.86 | valid ppl     6.45 | learning rate 5.0000
| end of split   1 /  1 | epoch  62 | time:  0.55s | valid loss  1.84 | valid ppl     6.28 | learning rate 5.0000
| end of split   1 /  1 | epoch  63 | time:  0.78s | valid loss  1.80 | valid ppl     6.08 | learning rate 5.0000
| end of split   1 /  1 | epoch  64 | time:  0.75s | valid loss  1.79 | valid ppl     5.98 | learning rate 5.0000
| end of split   1 /  1 | epoch  65 | time:  0.73s | valid loss  1.79 | valid ppl     5.96 | learning rate 5.0000
| end of split   1 /  1 | epoch  66 | time:  0.55s | valid loss  1.80 | valid ppl     6.05 | learning rate 5.0000
| end of split   1 /  1 | epoch  67 | time:  0.55s | valid loss  1.79 | valid ppl     6.01 | learning rate 5.0000
| end of split   1 /  1 | epoch  68 | time:  0.55s | valid loss  1.80 | valid ppl     6.03 | learning rate 5.0000
| end of split   1 /  1 | epoch  69 | time:  0.55s | valid loss  1.86 | valid ppl     6.40 | learning rate 5.0000
| end of split   1 /  1 | epoch  70 | time:  0.56s | valid loss  1.82 | valid ppl     6.17 | learning rate 5.0000
| end of split   1 /  1 | epoch  71 | time:  0.55s | valid loss  1.80 | valid ppl     6.04 | learning rate 5.0000
| end of split   1 /  1 | epoch  72 | time:  0.78s | valid loss  1.77 | valid ppl     5.89 | learning rate 5.0000
| end of split   1 /  1 | epoch  73 | time:  0.55s | valid loss  1.85 | valid ppl     6.39 | learning rate 5.0000
| end of split   1 /  1 | epoch  74 | time:  0.55s | valid loss  1.81 | valid ppl     6.11 | learning rate 5.0000
| end of split   1 /  1 | epoch  75 | time:  0.54s | valid loss  1.83 | valid ppl     6.22 | learning rate 5.0000
| end of split   1 /  1 | epoch  76 | time:  0.54s | valid loss  1.81 | valid ppl     6.12 | learning rate 5.0000
| end of split   1 /  1 | epoch  77 | time:  0.54s | valid loss  1.77 | valid ppl     5.89 | learning rate 5.0000
| end of split   1 /  1 | epoch  78 | time:  0.54s | valid loss  1.81 | valid ppl     6.14 | learning rate 5.0000
| end of split   1 /  1 | epoch  79 | time:  0.65s | valid loss  1.80 | valid ppl     6.04 | learning rate 5.0000
| end of split   1 /  1 | epoch  80 | time:  0.64s | valid loss  1.90 | valid ppl     6.68 | learning rate 5.0000
| end of split   1 /  1 | epoch  81 | time:  0.65s | valid loss  1.82 | valid ppl     6.15 | learning rate 5.0000
| end of split   1 /  1 | epoch  82 | time:  0.59s | valid loss  1.81 | valid ppl     6.10 | learning rate 5.0000
| end of split   1 /  1 | epoch  83 | time:  0.58s | valid loss  1.80 | valid ppl     6.05 | learning rate 5.0000
| end of split   1 /  1 | epoch  84 | time:  0.72s | valid loss  1.75 | valid ppl     5.73 | learning rate 1.2500
| end of split   1 /  1 | epoch  85 | time:  0.72s | valid loss  1.73 | valid ppl     5.62 | learning rate 1.2500
| end of split   1 /  1 | epoch  86 | time:  0.75s | valid loss  1.73 | valid ppl     5.64 | learning rate 1.2500
