EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
31	17:57:48	3	0.5000	1.398149051170259	0.4591	0.4591	0.4591	0.4591	1.455177903175354	0.4653	0.4653	0.4653	0.4653	1.399312138557434	0.4753	0.4753	0.4753	0.4753
32	17:57:52	4	0.5000	1.3998544282665208	0.4967	0.4967	0.4967	0.4967	1.288915991783142	0.5014	0.5014	0.5014	0.5014	1.2512900829315186	0.514	0.514	0.514	0.514
33	17:57:57	0	0.2500	1.2881844522823396	0.5727	0.5727	0.5727	0.5727	1.2452106475830078	0.5821	0.5821	0.5821	0.5821	1.1964285373687744	0.5849	0.5849	0.5849	0.5849
34	17:58:05	0	0.2500	1.2608776119583887	0.5967	0.5967	0.5967	0.5967	1.195509910583496	0.5897	0.5897	0.5897	0.5897	1.133237361907959	0.6086	0.6086	0.6086	0.6086
35	17:58:12	1	0.2500	1.2509857069516013	0.5949	0.5949	0.5949	0.5949	1.1702312231063843	0.5869	0.5869	0.5869	0.5869	1.1344693899154663	0.6118	0.6118	0.6118	0.6118
36	17:58:17	0	0.2500	1.2376462282582097	0.5989	0.5989	0.5989	0.5989	1.205439805984497	0.6002	0.6002	0.6002	0.6002	1.1632825136184692	0.6226	0.6226	0.6226	0.6226
37	17:58:25	0	0.2500	1.2066282376048132	0.6121	0.6121	0.6121	0.6121	1.136785864830017	0.6211	0.6211	0.6211	0.6211	1.1033421754837036	0.6333	0.6333	0.6333	0.6333
38	17:58:34	1	0.2500	1.188950198198323	0.6148	0.6148	0.6148	0.6148	1.1199448108673096	0.6173	0.6173	0.6173	0.6173	1.0942304134368896	0.6333	0.6333	0.6333	0.6333
39	17:58:39	2	0.2500	1.1925669965450927	0.5996	0.5996	0.5996	0.5996	1.1611799001693726	0.6021	0.6021	0.6021	0.6021	1.1150238513946533	0.629	0.629	0.629	0.629
40	17:58:43	0	0.2500	1.1818460955969268	0.6387	0.6387	0.6387	0.6387	1.0956522226333618	0.6306	0.6306	0.6306	0.6306	1.0618281364440918	0.6409	0.6409	0.6409	0.6409
41	17:58:52	1	0.2500	1.146825497313876	0.6453	0.6453	0.6453	0.6453	1.117419958114624	0.6306	0.6306	0.6306	0.6306	1.0689665079116821	0.643	0.643	0.643	0.643
42	17:58:56	2	0.2500	1.1449501704944223	0.5704	0.5704	0.5704	0.5704	1.1111515760421753	0.5537	0.5537	0.5537	0.5537	1.0820178985595703	0.5677	0.5677	0.5677	0.5677
43	17:59:01	0	0.2500	1.1379957050296432	0.6635	0.6635	0.6635	0.6635	1.028459072113037	0.6581	0.6581	0.6581	0.6581	1.0012760162353516	0.6699	0.6699	0.6699	0.6699
44	17:59:10	1	0.2500	1.108599882373855	0.6535	0.6535	0.6535	0.6535	1.0359101295471191	0.6534	0.6534	0.6534	0.6534	0.9862847924232483	0.6645	0.6645	0.6645	0.6645
45	17:59:14	2	0.2500	1.098807444470994	0.6408	0.6408	0.6408	0.6408	1.06070077419281	0.6287	0.6287	0.6287	0.6287	0.9963592290878296	0.6419	0.6419	0.6419	0.6419
46	17:59:19	3	0.2500	1.0879002780779035	0.6628	0.6628	0.6628	0.6628	1.0099395513534546	0.6486	0.6486	0.6486	0.6486	0.952095091342926	0.6591	0.6591	0.6591	0.6591
47	17:59:23	4	0.2500	1.0867997099603603	0.6527	0.6527	0.6527	0.6527	1.000200867652893	0.6467	0.6467	0.6467	0.6467	0.9799596071243286	0.6376	0.6376	0.6376	0.6376
48	17:59:28	0	0.1250	1.0134275359746694	0.7045	0.7045	0.7045	0.7045	0.9485297799110413	0.6971	0.6971	0.6971	0.6971	0.9019561409950256	0.6989	0.6989	0.6989	0.6989
49	17:59:35	1	0.1250	1.007427074892301	0.7034	0.7034	0.7034	0.7034	0.9586257338523865	0.6885	0.6885	0.6885	0.6885	0.8975155353546143	0.6935	0.6935	0.6935	0.6935
50	17:59:40	0	0.1250	1.0080845717842697	0.7083	0.7083	0.7083	0.7083	0.9340327978134155	0.7075	0.7075	0.7075	0.7075	0.8872274160385132	0.6882	0.6882	0.6882	0.6882
51	17:59:48	1	0.1250	0.9832380957637273	0.7138	0.7138	0.7138	0.7138	0.9143264293670654	0.6876	0.6876	0.6876	0.6876	0.8814085721969604	0.6957	0.6957	0.6957	0.6957
52	17:59:52	0	0.1250	0.9697303970372987	0.7257	0.7257	0.7257	0.7257	0.9092482328414917	0.7179	0.7179	0.7179	0.7179	0.8507510423660278	0.7172	0.7172	0.7172	0.7172
53	18:00:01	1	0.1250	0.9540270289067118	0.7227	0.7227	0.7227	0.7227	0.9059409499168396	0.7066	0.7066	0.7066	0.7066	0.8415281176567078	0.7108	0.7108	0.7108	0.7108
54	18:00:06	2	0.1250	0.9508517686920527	0.7268	0.7268	0.7268	0.7268	0.8828539848327637	0.7123	0.7123	0.7123	0.7123	0.8472357988357544	0.7108	0.7108	0.7108	0.7108
55	18:00:10	0	0.1250	0.9457858182577941	0.7323	0.7323	0.7323	0.7323	0.8788281083106995	0.7236	0.7236	0.7236	0.7236	0.8290734887123108	0.7312	0.7312	0.7312	0.7312
56	18:00:38	1	0.1250	0.9389246514502992	0.721	0.721	0.721	0.721	0.8871254920959473	0.6942	0.6942	0.6942	0.6942	0.8372602462768555	0.7032	0.7032	0.7032	0.7032
57	18:00:42	2	0.1250	0.9229261177369606	0.7121	0.7121	0.7121	0.7121	0.8889027237892151	0.7009	0.7009	0.7009	0.7009	0.8538629412651062	0.6925	0.6925	0.6925	0.6925
58	18:00:47	3	0.1250	0.9175945074563895	0.7363	0.7363	0.7363	0.7363	0.8773452639579773	0.7151	0.7151	0.7151	0.7151	0.8207749128341675	0.7376	0.7376	0.7376	0.7376
59	18:00:51	4	0.1250	0.9154956357698913	0.7385	0.7385	0.7385	0.7385	0.8536849617958069	0.698	0.698	0.698	0.698	0.8169919848442078	0.7108	0.7108	0.7108	0.7108
60	18:00:56	1	0.0625	0.8846976566540152	0.7539	0.7539	0.7539	0.7539	0.8379737734794617	0.716	0.716	0.716	0.716	0.7870538234710693	0.7366	0.7366	0.7366	0.7366
61	18:01:01	2	0.0625	0.8780030938186826	0.7505	0.7505	0.7505	0.7505	0.832098126411438	0.7189	0.7189	0.7189	0.7189	0.7897211909294128	0.7258	0.7258	0.7258	0.7258
